url,source,head,feet,type
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/0.png,20161005_112351_Original.jpg,"(32, 1376)","(163.0, 1362.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/0.png,20161005_112351_Original.jpg,"(13, 1354)","(139.0, 1348.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/0.png,20161005_112351_Original.jpg,"(50, 1321)","(162.0, 1311.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/0.png,20161005_112351_Original.jpg,"(22, 1291)","(142.0, 1278.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/1.png,20161005_112351_Original.jpg,"(67, 814)","(256.0, 822.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/1.png,20161005_112351_Original.jpg,"(112, 737)","(260.0, 747.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/1.png,20161005_112351_Original.jpg,"(229, 72)","(441.0, 111.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/1.png,20161005_112351_Original.jpg,"(707, 1468)","(1113.0, 1418.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/2.png,20161005_112351_Original.jpg,"(826, 1742)","(1204.0, 1649.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/2.png,20161005_112410_Original.jpg,"(585, 1719)","(1005.0, 1643.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/2.png,20161005_112410_Original.jpg,"(707, 1729)","(1107.0, 1622.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/2.png,20161005_112410_Original.jpg,"(669, 1259)","(1030.0, 1161.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/3.png,20161005_112410_Original.jpg,"(911, 1247)","(1342.0, 1219.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/3.png,20161005_112410_Original.jpg,"(654, 923)","(1060.0, 913.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/3.png,20161005_112410_Original.jpg,"(72, 1339)","(198.0, 1337.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/3.png,20161005_112410_Original.jpg,"(2, 702)","(129.0, 710.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/4.png,20161005_112428_Original.jpg,"(7, 1301)","(76.0, 1301.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/4.png,20161005_112428_Original.jpg,"(37, 1321)","(150.0, 1306.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/4.png,20161005_112428_Original.jpg,"(30, 1376)","(140.0, 1356.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/4.png,20161005_112428_Original.jpg,"(7, 1374)","(50.0, 1358.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/5.png,20161005_112428_Original.jpg,"(388, 995)","(726.0, 993.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/5.png,20161005_112428_Original.jpg,"(426, 1212)","(682.0, 1198.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/5.png,20161005_112439_Original.jpg,"(635, 1874)","(1013.0, 1740.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/5.png,20161005_112439_Original.jpg,"(343, 1267)","(625.0, 1217.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/6.png,20161005_112439_Original.jpg,"(323, 1165)","(559.0, 1175.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/6.png,20161005_112439_Original.jpg,"(189, 1319)","(366.0, 1296.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/6.png,20161005_112439_Original.jpg,"(47, 1391)","(216.0, 1367.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/6.png,20161005_112439_Original.jpg,"(17, 1324)","(146.0, 1318.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/7.png,20161005_112439_Original.jpg,"(12, 1092)","(160.0, 1094.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/7.png,20161005_112439_Original.jpg,"(15, 1379)","(49.0, 1369.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/7.png,20161005_112443_Original.jpg,"(7, 1314)","(92.0, 1308.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/7.png,20161005_112443_Original.jpg,"(7, 1364)","(91.0, 1349.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/8.png,20161005_112443_Original.jpg,"(5, 1179)","(78.0, 1178.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/8.png,20161005_112443_Original.jpg,"(80, 1371)","(200.0, 1355.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/8.png,20161005_112443_Original.jpg,"(187, 1366)","(428.0, 1329.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/8.png,20161005_112443_Original.jpg,"(443, 1252)","(797.0, 1202.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/9.png,20161005_112443_Original.jpg,"(435, 985)","(697.0, 974.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/9.png,20161005_112443_Original.jpg,"(722, 1724)","(1113.0, 1644.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/9.png,20161005_112443_Original.jpg,"(620, 1826)","(1016.0, 1751.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/9.png,20161005_112455_Original.jpg,"(567, 1441)","(988.0, 1469.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/10.png,20161005_112455_Original.jpg,"(139, 1331)","(324.0, 1312.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/10.png,20161005_112455_Original.jpg,"(157, 1252)","(324.0, 1238.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/10.png,20161005_112455_Original.jpg,"(157, 1147)","(363.0, 1152.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/11.png,20161005_112505_Original.jpg,"(264, 1281)","(486.0, 1275.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/11.png,20161005_112505_Original.jpg,"(585, 1700)","(989.0, 1634.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/11.png,20161005_112505_Original.jpg,"(682, 1717)","(1083.0, 1628.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/11.png,20161005_112505_Original.jpg,"(-5, 1356)","(489.0, 1348.0)",Estimation
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/12.png,20161005_112531_Original.jpg,"(478, 1209)","(820.0, 1204.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/12.png,20161005_112531_Original.jpg,"(426, 1189)","(704.0, 1152.0)",Valid
https://city-uhk.s3-us-west-1.amazonaws.com/scene_29/12.png,20161005_112531_Original.jpg,"(460, 1015)","(784.0, 985.0)",Valid
